Date,^DJI,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2014-01-02,16441.349609375,17.296661376953125,87.31858825683594,19.898500442504883,76.83537292480469,116.8079605102539,67.80391693115234,54.78843307495117,15.964675903320312,80.70762634277344,69.96450805664062,,145.7401123046875,64.7386703491211,69.73493194580078,115.51815032958984,19.378849029541016,68.81669616699219,43.791934967041016,29.366701126098633,73.60161590576172,76.56134796142578,34.48240280151367,31.233057022094727,34.91725158691406,60.02887344360352,70.60448455810547,63.74856185913086,51.42699432373047,29.282939910888672,21.1873836517334
2014-01-03,16469.990234375,16.916717529296875,86.31571197509766,19.82200050354004,77.0844955444336,117.619873046875,67.76619720458984,55.048091888427734,15.950166702270508,80.84414672851562,69.8177261352539,,146.77822875976562,64.63603210449219,69.88936614990234,116.20931243896484,19.371335983276367,69.43660736083984,44.13046646118164,29.22223472595215,73.70084381103516,76.73875427246094,34.64963150024414,31.022947311401367,34.823524475097656,59.961788177490234,70.47012329101562,64.20166778564453,51.461910247802734,28.936344146728516,21.117582321166992
2014-01-06,16425.099609375,17.008970260620117,85.56920623779297,19.681499481201172,77.0501480102539,118.2950668334961,66.87592315673828,54.15925216674805,15.97192668914795,80.62959289550781,69.55170440673828,,147.7833709716797,64.01248931884766,69.81983947753906,115.81084442138672,19.13089179992676,69.7994613647461,44.38624954223633,29.08501434326172,73.17410278320312,76.28424835205078,34.65658950805664,30.367345809936523,34.55575180053711,60.103416442871094,70.28042602539062,63.46644592285156,51.15242004394531,29.097681045532227,20.999441146850582
2014-01-07,16530.939453125,16.887331008911133,87.79362487792969,19.901500701904297,76.75811004638672,120.0898666381836,67.09473419189453,54.87831497192383,16.18963623046875,81.31227111816406,70.0287094116211,,146.89358520507812,64.32819366455078,70.10554504394531,118.12079620361328,19.22856903076172,71.28120422363281,43.87468719482422,29.17168235778809,73.57874298095703,76.29534149169922,34.91439437866211,30.602689743041992,34.582542419433594,60.68477249145508,69.86945343017578,65.40705108642578,51.54335021972656,29.462244033813477,21.063880920410156
2014-01-08,16462.740234375,16.994274139404297,87.3789291381836,20.09600067138672,76.99920654296875,120.3548355102539,67.2531509399414,56.86571502685547,16.175121307373047,80.155029296875,69.00131225585938,,147.01715087890625,64.6676025390625,69.82758331298828,117.0373992919922,19.108341217041016,71.18291473388672,44.28845977783203,28.846675872802734,72.83821868896484,75.72999572753906,34.691429138183594,30.056350708007812,34.40402603149414,59.805274963378906,69.22132873535156,64.64617919921875,51.70855712890625,29.299137115478516,20.89740562438965
2014-01-09,16444.759765625,16.77725601196289,89.64860534667969,20.050500869750977,76.54278564453125,121.47444915771484,67.6832046508789,56.21656799316406,16.029991149902344,80.155029296875,68.707763671875,,146.1602783203125,64.38347625732422,69.85076141357422,116.67008209228516,19.018169403076172,71.61381530761719,44.205692291259766,28.69500160217285,72.8763656616211,75.63020324707031,34.5032958984375,29.8630428314209,34.40402603149414,59.939430236816406,69.30036163330078,65.03942108154297,51.63640975952149,28.695022583007812,20.96721839904785
2014-01-10,16437.05078125,16.66530418395996,88.9699478149414,19.882999420166016,76.25859832763672,121.2778778076172,68.28678894042969,56.87570571899414,16.124324798583984,78.6727294921875,69.1572494506836,,146.9759521484375,64.73074340820312,69.61139678955078,116.59532165527344,19.1834774017334,71.62139129638672,44.00257110595703,28.983905792236328,73.13594818115234,75.48054504394531,34.75413513183594,30.291704177856445,34.328147888183594,59.84998321533203,69.15022277832031,63.85968399047851,51.45491790771485,28.84604263305664,20.953798294067383
2014-01-13,16257.9404296875,16.752553939819336,87.77100372314453,19.548999786376953,74.91515350341797,120.25226593017578,67.8189926147461,56.13666915893555,16.10255241394043,77.52848052978516,67.21251678466797,,144.90794372558594,63.90987777709961,68.61540985107422,114.66517639160156,19.16094017028809,71.43995666503906,43.40825271606445,28.55055046081543,72.39541625976562,74.64916229248047,37.01162338256836,29.400768280029297,33.55162048339844,59.63385772705078,68.24124908447266,63.20998001098633,50.93601989746094,28.41107749938965,20.806116104125977
2014-01-14,16373.8603515625,17.085901260375977,88.7663345336914,19.87700080871582,75.02711486816406,119.66259765625,68.32449340820312,57.43497085571289,16.262197494506836,77.73653411865234,68.29495239257812,,145.50119018554688,63.941444396972656,69.0168685913086,115.76099395751952,19.91986656188965,71.60627746582031,43.4383430480957,28.666109085083008,72.69314575195312,76.16230010986328,36.92799758911133,30.073169708251953,33.547157287597656,60.27483367919922,69.11857604980469,63.278358459472656,51.80862045288086,28.441307067871097,20.93231964111328
2014-01-15,16481.939453125,17.428939819335938,89.36205291748047,19.793500900268555,76.00023651123047,120.18389129638672,69.72027587890625,59.642093658447266,16.530698776245117,77.48297882080078,68.1390151977539,,147.27249145507812,63.98880386352539,69.41836547851562,116.89421081542967,20.04009056091309,71.66673278808594,44.7548942565918,28.71666717529297,72.8763656616211,76.73321533203125,36.59357452392578,30.89685440063477,33.66318893432617,60.215213775634766,69.45846557617188,63.979373931884766,52.066898345947266,29.160184860229492,20.85176467895508
